sequence_id,student_id,student_name,session_number,step_number,piece_category,strategy_used,time_seconds,success,difficulty_perceived,notes
SEQ_STU_001_00,STU_001,Cassie,1,1,internal,random_opportunistic,12.22,False,3,Asked for hint (denied)
SEQ_STU_001_00,STU_001,Cassie,1,2,internal,random_opportunistic,14.71,True,5,
SEQ_STU_001_00,STU_001,Cassie,1,3,edge,random_opportunistic,6.48,True,10,
SEQ_STU_001_00,STU_001,Cassie,1,4,internal,random_opportunistic,14.07,True,8,
SEQ_STU_001_00,STU_001,Cassie,1,5,edge,random_opportunistic,4.67,True,1,
SEQ_STU_001_00,STU_001,Cassie,1,6,internal,random_opportunistic,13.09,True,6,Grouped similar colors together
SEQ_STU_001_00,STU_001,Cassie,1,7,internal,random_opportunistic,10.0,True,5,
SEQ_STU_001_00,STU_001,Cassie,1,8,internal,random_opportunistic,4.0,True,2,
SEQ_STU_001_00,STU_001,Cassie,1,9,internal,random_opportunistic,7.73,True,10,
SEQ_STU_001_00,STU_001,Cassie,1,10,internal,random_opportunistic,3.67,True,7,
SEQ_STU_001_00,STU_001,Cassie,1,11,internal,random_opportunistic,7.47,True,5,
SEQ_STU_001_00,STU_001,Cassie,1,12,internal,random_opportunistic,13.49,True,8,
SEQ_STU_001_00,STU_001,Cassie,1,13,internal,random_opportunistic,7.99,True,7,
SEQ_STU_001_00,STU_001,Cassie,1,14,edge,random_opportunistic,7.97,True,3,
SEQ_STU_001_00,STU_001,Cassie,1,15,edge,random_opportunistic,8.7,False,2,
SEQ_STU_001_00,STU_001,Cassie,1,16,internal,random_opportunistic,10.09,True,7,
SEQ_STU_001_00,STU_001,Cassie,1,17,internal,random_opportunistic,6.28,True,10,
SEQ_STU_001_00,STU_001,Cassie,1,18,internal,random_opportunistic,4.64,True,5,
SEQ_STU_001_00,STU_001,Cassie,1,19,internal,random_opportunistic,3.51,True,5,
SEQ_STU_001_00,STU_001,Cassie,1,20,internal,random_opportunistic,11.88,True,1,
SEQ_STU_001_00,STU_001,Cassie,1,21,internal,random_opportunistic,6.6,True,5,
