observation_id,observation_date,surveyor_id,surveyor_name,location_name,region,sector_id,n_observed,w_observed,s_observed,n_canonical,w_canonical,s_canonical,variance_n,variance_w,variance_s,total_variance,stability_class,surveyor_reliability,instrument_id,weather_conditions,notes
GCO-00924,1840-01-03,SV-10,Kella Tross,East Square,Capital,NW-2,38.802,48.839,42.815,38.653,49.261,42.766,0.149,-0.422,0.049,0.45,STABLE,0.709,COMP-009,clear,
GCO-04846,1840-01-03,SV-25,Terris Bloom,East Square,Capital,NW-2,38.917,48.552,43.257,38.653,49.261,42.766,0.263,-0.709,0.491,0.902,STABLE,0.987,COMP-018,clear,Reference marker missing or damaged
GCO-03791,1840-01-04,SV-21,Mellen Pike,Little Yard,Capital,NW-6,46.17,4.064,14.986,46.115,3.94,14.659,0.056,0.124,0.327,0.355,STABLE,0.942,COMP-011,cloudy,
GCO-03121,1840-01-05,SV-30,Merris Glen,Little Yard,Capital,NW-6,46.881,4.82,14.605,46.115,3.94,14.659,0.766,0.88,-0.054,1.168,STABLE,0.881,COMP-001,cloudy,
GCO-02716,1840-01-07,SV-28,Varren Hill,Little Exchange (Capital),Capital,NW-2,7.175,16.892,33.702,8.133,17.764,33.509,-0.958,-0.872,0.193,1.309,STABLE,0.729,COMP-013,rain,
GCO-03017,1840-01-09,SV-09,Archon Mills,Little Yard,Capital,NW-6,45.871,2.752,14.493,46.115,3.94,14.659,-0.244,-1.188,-0.166,1.224,STABLE,0.827,COMP-043,cloudy,Standard conditions
GCO-01377,1840-01-10,SV-06,Sareth Vell,East Square,Capital,NW-2,38.127,49.542,42.273,38.653,49.261,42.766,-0.527,0.281,-0.492,0.774,STABLE,0.903,COMP-010,clear,
GCO-04692,1840-01-10,SV-02,Mira Strand,Little Yard,Capital,NW-6,46.87,4.525,14.556,46.115,3.94,14.659,0.756,0.585,-0.103,0.961,STABLE,0.708,COMP-024,clear,
GCO-04187,1840-01-11,SV-01,Kellis Dorn,Little Yard,Capital,NW-6,45.217,5.477,15.461,46.115,3.94,14.659,-0.898,1.537,0.802,1.952,STABLE,0.892,COMP-047,rain,
GCO-04695,1840-01-11,SV-05,Tobin Creel,Little Yard,Capital,NW-6,45.562,4.483,14.325,46.115,3.94,14.659,-0.553,0.543,-0.334,0.844,MODERATE,0.921,COMP-047,cloudy,
GCO-00031,1840-01-13,SV-14,Levin Cross,Little Yard,Capital,NW-6,45.652,5.433,13.097,46.115,3.94,14.659,-0.463,1.493,-1.562,2.21,STABLE,0.76,COMP-033,cloudy,
GCO-04128,1840-01-14,SV-08,Tessyn Ward,Little Yard,Capital,NW-6,43.787,4.035,14.312,46.115,3.94,14.659,-2.328,0.095,-0.347,2.355,STABLE,0.726,COMP-033,storm,
GCO-00952,1840-01-15,SV-06,Sareth Vell,Little Yard,Capital,NW-6,44.095,5.764,15.218,46.115,3.94,14.659,-2.019,1.824,0.559,2.778,STABLE,0.903,COMP-012,fog,
