id,name,age,role,joined_semester,is_core
S001,Jackson,34,sage,1.0,True
S002,Aubree,21,theorist,5.0,True
S003,Simon,20,skeptic,5.0,True
S004,Soji,22,observer,5.0,True
S005,Narrator,19,chronicler,7.0,True
S006,Marcus,28,peripheral,,False
S007,Delia,19,peripheral,,False
S008,Tyler,18,peripheral,,False
S009,Keisha,22,peripheral,,False
S010,Brett,21,peripheral,,False
S011,Monica,21,peripheral,,False
S012,Chen,20,peripheral,,False
S013,Priya,19,peripheral,,False
S014,Omar,28,peripheral,,False
S015,Jasmine,26,peripheral,,False
S016,Derek,19,peripheral,,False
S017,Amy,27,peripheral,,False
S018,Luis,24,peripheral,,False
S019,Tara,18,peripheral,,False
S020,Kevin,18,peripheral,,False
S021,Nicole,19,peripheral,,False
S022,Brandon,21,peripheral,,False
S023,Mia,21,peripheral,,False
S024,Jorge,26,peripheral,,False
S025,Hannah,27,peripheral,,False
S026,Darnell,18,peripheral,,False
S027,Chloe,26,peripheral,,False
S028,Ravi,21,peripheral,,False
S029,Alicia,28,peripheral,,False
